IncidentNumber,DateOfCall,CalYear,TimeOfCall,HourOfCall,IncidentGroup,StopCodeDescription,SpecialServiceType,PropertyCategory,PropertyType,AddressQualifier,Postcode_full,Postcode_district,UPRN,USRN,IncGeo_BoroughCode,IncGeo_BoroughName,ProperCase,IncGeo_WardCode,IncGeo_WardName,IncGeo_WardNameNew,Easting_m,Northing_m,Easting_rounded,Northing_rounded,Latitude,Longitude,FRS,IncidentStationGround,FirstPumpArriving_AttendanceTime,FirstPumpArriving_DeployedFromStation,SecondPumpArriving_AttendanceTime,SecondPumpArriving_DeployedFromStation,NumStationsWithPumpsAttending,NumPumpsAttending,PumpCount,PumpHoursRoundUp,Notional Cost (£),NumCalls
172848-23122019,23 Dec 2019,2019,21:36:52,21,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Correct incident location,,SW6,0,21000633,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013743,Munster,Munster,,,524350,177350,,,London,Fulham,,,,,1,1,1,1,339,1
172878-23122019,23 Dec 2019,2019,22:55:02,22,False Alarm,False alarm - Good intent,,Outdoor Structure,Small refuse/rubbish container,On land associated with building,W12 9JB,W12,34010641,21000191,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013737,Coningham,Coningham,522548,179775,522550,179750,51.5036339242,-0.2357117786,London,Hammersmith,295,Hammersmith,320,Hammersmith,1,2,2,1,339,1
172915-24122019,24 Dec 2019,2019,00:12:03,0,False Alarm,AFA,,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Correct incident location,,W12,0,21000765,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013737,Coningham,Coningham,,,522850,179950,,,London,Hammersmith,390,Hammersmith,398,Hammersmith,1,2,2,1,339,1
172999-24122019,24 Dec 2019,2019,09:01:17,9,Special Service,Special Service,Effecting entry/exit,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Correct incident location,,SW6,0,21000405,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013747,Sands End,Sands End,,,525950,175950,,,London,Fulham,320,Fulham,,,1,1,1,1,339,1
173053-24122019,24 Dec 2019,2019,12:23:08,12,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Correct incident location,,W6,0,21000496,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013738,Fulham Reach,Fulham Reach,,,524050,177650,,,London,Fulham,302,Fulham,531,Hammersmith,2,2,2,1,339,1
173067-24122019,24 Dec 2019,2019,13:01:26,13,Special Service,Special Service,Lift Release,Non Residential,Large supermarket ,Correct incident location,SW6 1LU,SW6,34073051,21000597,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013749,Walham Green,Walham Green,525152,177231,525150,177250,51.4802,-0.199123,London,Fulham,,,,,1,1,1,1,339,1
173078-24122019,24 Dec 2019,2019,14:04:07,14,Special Service,Special Service,Effecting entry/exit,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,W12,0,21000876,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013737,Coningham,Coningham,,,522350,179550,,,London,Hammersmith,337,Hammersmith,,,1,1,1,1,339,1
173202-24122019,24 Dec 2019,2019,20:05:11,20,Special Service,Special Service,Effecting entry/exit,Road Vehicle,Car ,On land associated with building,W6 7NL,W6,34036868,21000727,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013733,Addison,Addison,523364,179097,523350,179050,51.4973658088,-0.2241994536,London,Hammersmith,119,Hammersmith,,,1,1,1,1,339,1
173288-24122019,24 Dec 2019,2019,23:07:28,23,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,W12,0,21001256,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013753,Wormholt,Wormholt,,,522150,180150,,,London,Acton,231,Hammersmith,243,Hammersmith,1,2,2,1,339,1
173289-24122019,24 Dec 2019,2019,23:07:33,23,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,W6,0,21000207,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013738,Fulham Reach,Fulham Reach,,,523950,177950,,,London,Hammersmith,493,Kensington,558,Fulham,2,2,2,1,339,1
173291-24122019,24 Dec 2019,2019,23:13:12,23,Special Service,Special Service,No action (not false alarm),Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Correct incident location,,W6,0,21000219,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013738,Fulham Reach,Fulham Reach,,,523850,178050,,,London,Hammersmith,488,Chelsea,,,1,1,1,1,339,1
173315-25122019,25 Dec 2019,2019,00:20:00,0,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,W12,0,21000645,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013736,College Park & Old Oak,College Park & Old Oak,,,523050,181150,,,London,North Kensington,263,North Kensington,267,North Kensington,1,2,2,2,678,2
173373-25122019,25 Dec 2019,2019,05:54:13,5,Special Service,Special Service,Advice Only,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Correct incident location,,W6,0,21000586,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013740,Grove,Grove,,,522750,179250,,,London,Hammersmith,276,Hammersmith,315,Hammersmith,1,2,2,2,678,1
173381-25122019,25 Dec 2019,2019,06:48:10,6,Fire,Secondary Fire,,Outdoor Structure,Wheelie bin (domestic size),In street close to gazetteer location,W6 9HA,W6,34137992,21000242,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013738,Fulham Reach,Fulham Reach,523450,177379,523450,177350,51.4819102917,-0.2235573976,London,Hammersmith,501,Fulham,,,1,1,1,1,339,1
173515-25122019,25 Dec 2019,2019,15:07:01,15,Special Service,Special Service,Flooding,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Within same building,,W12,0,21000285,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013736,College Park & Old Oak,College Park & Old Oak,,,522850,181250,,,London,North Kensington,250,North Kensington,,,1,1,1,1,339,1
173541-25122019,25 Dec 2019,2019,16:01:46,16,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Correct incident location,,W12,0,21000718,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013748,Shepherd's Bush Green,Shepherd's Bush Green,,,522950,179750,,,London,Hammersmith,249,Hammersmith,,,2,2,2,1,339,1
173546-25122019,25 Dec 2019,2019,16:08:25,16,False Alarm,False alarm - Good intent,,Dwelling,House - single occupancy ,Correct incident location,,SW6,0,21001228,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013743,Munster,Munster,,,524650,177250,,,London,Fulham,233,Fulham,431,Wandsworth,2,2,2,1,339,1
173569-25122019,25 Dec 2019,2019,16:50:27,16,Special Service,Special Service,Removal of objects from people,Non Residential,Fire station ,Correct incident location,W6 7NL,W6,34133162,21000727,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013735,Brook Green,Brook Green,523368,178961,523350,178950,51.4961477821,-0.2241924305,London,Hammersmith,,,,,1,1,1,1,339,1
173655-25122019,25 Dec 2019,2019,19:47:08,19,False Alarm,AFA,,Other Residential,Hotel/motel ,Correct incident location,W6 7HB,W6,34035391,21000410,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013740,Grove,Grove,523175,179070,523150,179050,51.4971663081,-0.226925838,London,Hammersmith,222,Hammersmith,486,Chiswick,2,2,2,1,339,1
173729-26122019,26 Dec 2019,2019,00:52:44,0,False Alarm,AFA,,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Correct incident location,,W14,0,21000588,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013733,Addison,Addison,,,523550,179450,,,London,Hammersmith,154,Hammersmith,173,Hammersmith,1,2,2,2,678,1
173736-26122019,26 Dec 2019,2019,01:09:13,1,False Alarm,False alarm - Good intent,,Outdoor Structure,Refuse/rubbish tip ,Correct incident location,NW10 6QY,NW10,34021387,21000719,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013736,College Park & Old Oak,College Park & Old Oak,522508,182371,522550,182350,51.5269800377,-0.2353901624,London,North Kensington,332,North Kensington,584,North Kensington,2,3,3,2,678,1
173753-26122019,26 Dec 2019,2019,04:02:05,4,False Alarm,False alarm - Good intent,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,,SW6,0,21000185,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013744,Palace & Hurlingham,Palace & Hurlingham,,,525350,175650,,,London,Fulham,464,Fulham,,,1,1,1,1,339,1
173761-26122019,26 Dec 2019,2019,04:24:33,4,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Correct incident location,,W14,0,21000846,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013751,West Kensington,West Kensington,,,524550,177950,,,London,Hammersmith,253,Hammersmith,,,1,2,2,1,339,1
173769-26122019,26 Dec 2019,2019,05:21:46,5,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Correct incident location,,W14,0,21000846,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013751,West Kensington,West Kensington,,,524550,177950,,,London,Hammersmith,317,Fulham,,,2,2,2,1,339,1
173770-26122019,26 Dec 2019,2019,05:45:34,5,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Correct incident location,,W14,0,21000846,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013751,West Kensington,West Kensington,,,524550,177950,,,London,Hammersmith,286,Hammersmith,302,Fulham,2,2,2,1,339,1
173773-26122019,26 Dec 2019,2019,05:57:31,5,False Alarm,AFA,,Non Residential,Shopping Centre ,Correct incident location,W6 0PZ,W6,34030610,21000478,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013741,Hammersmith Broadway,Hammersmith Broadway,523065,178585,523050,178550,51.4928271488,-0.2286778494,London,Hammersmith,293,Hammersmith,,,1,1,1,1,339,1
173874-26122019,26 Dec 2019,2019,13:33:05,13,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,W14,0,21000777,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013751,West Kensington,West Kensington,,,524750,178050,,,London,Hammersmith,264,Fulham,392,Hammersmith,2,2,2,1,339,1
174001-26122019,26 Dec 2019,2019,20:31:19,20,False Alarm,AFA,,Other Residential,Retirement/Old Persons Home,Correct incident location,W14 9JT,W14,34048888,21000846,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013751,West Kensington,West Kensington,524507,177989,524550,177950,51.4871544,-0.2081397,London,Hammersmith,231,Hammersmith,292,Fulham,2,2,2,1,339,1
174003-26122019,26 Dec 2019,2019,20:42:28,20,Special Service,Special Service,Flooding,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,SW6,0,21000509,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013742,Lillie,Lillie,,,524750,177650,,,London,Fulham,143,Fulham,,,1,1,1,1,339,1
174059-26122019,26 Dec 2019,2019,23:46:09,23,Fire,Secondary Fire,,Outdoor,Loose refuse ,In street close to gazetteer location,W12 0LJ,W12,34129046,21000717,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013753,Wormholt,Wormholt,522046,180516,522050,180550,51.5104013654,-0.2426860566,London,Acton,293,Hammersmith,,,1,1,1,1,339,1
174082-27122019,27 Dec 2019,2019,01:17:41,1,Special Service,Special Service,Flooding,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,SW6,0,21001206,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013742,Lillie,Lillie,,,524650,177550,,,London,Fulham,250,Fulham,,,1,1,1,1,339,1
174115-27122019,27 Dec 2019,2019,06:32:57,6,Fire,Secondary Fire,,Outdoor,Loose refuse ,In street outside gazetteer location,W6 9EY,W6,34023956,21000230,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013738,Fulham Reach,Fulham Reach,523500,177785,523550,177750,51.4855499521,-0.2226970669,London,Hammersmith,278,Hammersmith,,,1,1,1,1,339,1
174207-27122019,27 Dec 2019,2019,11:33:31,11,False Alarm,False alarm - Good intent,,Dwelling,House - single occupancy ,Correct incident location,,SW6,0,21000852,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013742,Lillie,Lillie,,,525250,177450,,,London,Fulham,190,Fulham,,,1,1,1,1,339,1
174215-27122019,27 Dec 2019,2019,11:47:32,11,False Alarm,False alarm - Good intent,,Non Residential,Purpose built office ,Correct incident location,SW6 3JW,SW6,34040254,21000355,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013744,Palace & Hurlingham,Palace & Hurlingham,524410,175927,524450,175950,51.4686488475,-0.2102598035,London,Fulham,208,Fulham,,,1,1,1,1,339,1
174225-27122019,27 Dec 2019,2019,12:10:33,12,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,W14,0,21000131,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013735,Brook Green,Brook Green,,,524050,179150,,,London,Hammersmith,525,Kensington,,,1,1,1,1,339,1
174282-27122019,27 Dec 2019,2019,14:44:06,14,Special Service,Special Service,RTC,Road Vehicle,Multiple Vehicles ,In street outside gazetteer location,W6 7NL,W6,34133162,21000727,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013735,Brook Green,Brook Green,523388,178952,523350,178950,51.4960594585,-0.2239097511,London,Hammersmith,1192,Hammersmith,,,1,1,1,1,339,1
174300-27122019,27 Dec 2019,2019,15:40:21,15,False Alarm,AFA,,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Correct incident location,,W12,0,21000835,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013748,Shepherd's Bush Green,Shepherd's Bush Green,,,523250,179950,,,London,Hammersmith,228,Hammersmith,237,Hammersmith,1,2,2,1,339,1
174562-28122019,28 Dec 2019,2019,08:41:29,8,Special Service,Special Service,Effecting entry/exit,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Within same building,,W12,0,21000724,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013733,Addison,Addison,,,523650,179850,,,London,Hammersmith,228,Hammersmith,,,1,1,1,1,339,2
174628-28122019,28 Dec 2019,2019,12:49:40,12,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Correct incident location,,SW6,0,21000509,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013742,Lillie,Lillie,,,524750,177650,,,London,Fulham,222,Fulham,356,Hammersmith,4,5,5,1,339,1
174648-28122019,28 Dec 2019,2019,13:54:28,13,False Alarm,AFA,,Other Residential,Retirement/Old Persons Home,Correct incident location,W12 8HW,W12,34009543,21000718,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013748,Shepherd's Bush Green,Shepherd's Bush Green,522943,179766,522950,179750,51.5034668,-0.2300353,London,Hammersmith,275,Hammersmith,283,Hammersmith,2,3,3,1,339,1
174802-28122019,28 Dec 2019,2019,19:20:11,19,False Alarm,False alarm - Good intent,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,SW6,0,21001557,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013739,Fulham Town,Fulham Town,,,524950,176550,,,London,Fulham,140,Fulham,299,Chelsea,3,3,3,1,339,1
174847-28122019,28 Dec 2019,2019,22:04:08,22,Special Service,Special Service,Advice Only,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Correct incident location,,W12,0,21000235,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013737,Coningham,Coningham,,,522650,179650,,,London,Hammersmith,312,Hammersmith,,,1,1,1,1,339,1
174852-28122019,28 Dec 2019,2019,22:20:38,22,Fire,Primary Fire,,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Correct incident location,,SW6,0,21000861,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013745,Parsons Green & Sandford,Parsons Green & Sandford,,,525650,177050,,,London,Fulham,154,Fulham,250,Chelsea,3,3,3,2,678,2
174886-29122019,29 Dec 2019,2019,00:31:02,0,Special Service,Special Service,Advice Only,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Correct incident location,,W6,0,21000586,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013740,Grove,Grove,,,522750,179250,,,London,Hammersmith,457,Hammersmith,,,1,1,1,1,339,1
174912-29122019,29 Dec 2019,2019,02:28:02,2,Special Service,Special Service,RTC,Road Vehicle,Multiple Vehicles ,In street outside gazetteer location,W6 0AA,W6,34027017,21000620,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013740,Grove,Grove,523142,178804,523150,178850,51.4947784159,-0.2274950353,London,Hammersmith,279,Hammersmith,322,Hammersmith,1,2,2,1,339,1
174926-29122019,29 Dec 2019,2019,04:44:08,4,Special Service,Special Service,Advice Only,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,W6,0,21000586,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013740,Grove,Grove,,,522750,179250,,,London,Hammersmith,372,Hammersmith,,,1,1,1,1,339,1
174980-29122019,29 Dec 2019,2019,10:33:35,10,False Alarm,AFA,,Non Residential,Other education establishment,Correct incident location,W12 0NW,W12,34014890,21000069,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013753,Wormholt,Wormholt,522061,180145,522050,180150,51.5070639,-0.2426057,London,Acton,260,Hammersmith,,,1,1,1,1,339,1
175123-29122019,29 Dec 2019,2019,16:51:12,16,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Within same building,,W6,0,21000797,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013733,Addison,Addison,,,523250,179550,,,London,Hammersmith,230,Hammersmith,,,1,1,1,1,339,1
175135-29122019,29 Dec 2019,2019,17:17:24,17,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,In street outside gazetteer location,W3 7DA,W3,34003286,21001223,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013736,College Park & Old Oak,College Park & Old Oak,521586,180989,521550,180950,51.5147544376,-0.249153089,London,Acton,454,Park Royal,,,1,1,1,1,339,1
175295-30122019,30 Dec 2019,2019,01:39:00,1,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,W11,0,21000663,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013748,Shepherd's Bush Green,Shepherd's Bush Green,,,523850,180150,,,London,North Kensington,310,Hammersmith,381,Hammersmith,1,2,2,3,1017,1
175328-30122019,30 Dec 2019,2019,04:57:15,4,False Alarm,AFA,,Non Residential,Purpose built office ,Correct incident location,SW6 3JW,SW6,34040254,21000355,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013744,Palace & Hurlingham,Palace & Hurlingham,524433,175939,524450,175950,51.4687467,-0.2099261,London,Fulham,221,Fulham,,,1,1,1,1,339,1
175332-30122019,30 Dec 2019,2019,05:34:32,5,False Alarm,AFA,,Non Residential,Purpose built office ,Correct incident location,SW6 3JW,SW6,34040254,21000355,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013744,Palace & Hurlingham,Palace & Hurlingham,524433,175939,524450,175950,51.4687467,-0.2099261,London,Fulham,209,Fulham,,,1,1,1,1,339,1
175387-30122019,30 Dec 2019,2019,10:35:12,10,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Correct incident location,,W6,0,21000693,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013746,Ravenscourt,Ravenscourt,,,522550,178450,,,London,Hammersmith,181,Chiswick,343,Hammersmith,1,2,2,1,339,1
175468-30122019,30 Dec 2019,2019,15:13:52,15,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Correct incident location,,W12,0,21001703,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013748,Shepherd's Bush Green,Shepherd's Bush Green,,,523550,180450,,,London,Hammersmith,384,Hammersmith,390,Hammersmith,3,5,5,2,678,1
175663-31122019,31 Dec 2019,2019,00:50:28,0,Special Service,Special Service,RTC,Road Vehicle,Car ,In street outside gazetteer location,SW6 2JE,SW6,34073479,21000444,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013745,Parsons Green & Sandford,Parsons Green & Sandford,525884,177201,525850,177250,51.4797683256,-0.1885915948,London,Fulham,237,Chelsea,261,Fulham,2,2,2,1,339,1
175910-31122019,31 Dec 2019,2019,17:33:51,17,Special Service,Special Service,Effecting entry/exit,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Correct incident location,,W14,0,21000878,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013733,Addison,Addison,,,523550,179650,,,London,Hammersmith,176,Hammersmith,,,1,1,1,1,339,1
175924-31122019,31 Dec 2019,2019,18:02:56,18,False Alarm,AFA,,Other Residential,Hostel (e.g. for homeless people) ,Within same building,W14 0NH,W14,34166576,21000737,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013735,Brook Green,Brook Green,524254,179208,524250,179250,51.4981655,-0.2113528,London,Hammersmith,225,Hammersmith,,,1,1,1,1,339,1
175940-31122019,31 Dec 2019,2019,18:38:34,18,Special Service,Special Service,Making Safe (not RTC),Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Correct incident location,,W14,0,21000398,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013734,Avonmore,Avonmore,,,524350,178450,,,London,Hammersmith,272,Hammersmith,,,1,1,1,1,339,1
175955-31122019,31 Dec 2019,2019,19:12:48,19,False Alarm,AFA,,Non Residential,Large supermarket ,Within same building,W6 7NL,W6,34036868,21000727,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013733,Addison,Addison,523368,179099,523350,179050,51.49738,-0.224148,London,Hammersmith,186,Hammersmith,,,1,1,1,1,339,1
175990-31122019,31 Dec 2019,2019,21:27:43,21,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,W6,0,21000207,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013738,Fulham Reach,Fulham Reach,,,523950,177950,,,London,Hammersmith,268,Hammersmith,986,Hammersmith,2,3,5,11,3729,2
000030-01012020,01 Jan 2020,2020,00:23:01,0,False Alarm,False alarm - Good intent,,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Within same building,,SW6,0,21000509,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013742,Lillie,Lillie,,,524750,177550,,,London,Fulham,192,Fulham,274,Hammersmith,5,5,5,2,678,1
000188-01012020,01 Jan 2020,2020,06:00:45,6,Fire,Primary Fire,,Dwelling,House - single occupancy ,Correct incident location,,W14,0,21000773,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013751,West Kensington,West Kensington,,,524950,178150,,,London,Fulham,254,Fulham,456,Hammersmith,2,2,2,3,1017,1
000191-01012020,01 Jan 2020,2020,06:10:50,6,Special Service,Special Service,Effecting entry/exit,Dwelling,House - single occupancy ,Correct incident location,,SW6,0,21000570,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013745,Parsons Green & Sandford,Parsons Green & Sandford,,,525550,177050,,,London,Fulham,499,Chelsea,,,1,1,1,1,339,1
000347-01012020,01 Jan 2020,2020,14:52:34,14,False Alarm,False alarm - Good intent,,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Within same building,,W14,0,21000637,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013751,West Kensington,West Kensington,,,524450,178050,,,London,Hammersmith,261,Fulham,375,Hammersmith,2,2,2,1,339,1
000356-01012020,01 Jan 2020,2020,15:11:27,15,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,W6,0,21000411,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013735,Brook Green,Brook Green,,,523750,178750,,,London,Hammersmith,161,Hammersmith,177,Hammersmith,4,5,5,6,2034,1
000400-01012020,01 Jan 2020,2020,17:11:28,17,False Alarm,AFA,,Non Residential,Prison ,Correct incident location,W12 0AE,W12,34020469,21000285,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013736,College Park & Old Oak,College Park & Old Oak,522184,181323,522150,181350,51.517632,-0.240416,London,North Kensington,286,North Kensington,425,Hammersmith,2,3,3,1,339,1
000605-02012020,02 Jan 2020,2020,08:30:52,8,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Correct incident location,,SW6,0,21000509,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013742,Lillie,Lillie,,,524750,177550,,,London,Fulham,659,Fulham,,,1,1,1,1,339,1
000642-02012020,02 Jan 2020,2020,10:31:42,10,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,SW6,0,21000185,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013744,Palace & Hurlingham,Palace & Hurlingham,,,525450,175550,,,London,Fulham,292,Fulham,495,Wandsworth,2,2,2,1,339,1
000740-02012020,02 Jan 2020,2020,15:31:00,15,Special Service,Special Service,RTC,Road Vehicle,Motorcycle ,In street close to gazetteer location,W14 8TF,W14,10025176522,21000597,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013734,Avonmore,Avonmore,524511,178599,524550,178550,51.4926364555,-0.2078558952,London,Hammersmith,254,Hammersmith,,,1,1,1,2,678,1
001055-03012020,03 Jan 2020,2020,12:08:10,12,False Alarm,AFA,,Non Residential,Secondary school,Correct incident location,W12 0TN,W12,34020825,21000285,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013736,College Park & Old Oak,College Park & Old Oak,522819,181252,522850,181250,51.5168489,-0.2313036,London,North Kensington,313,North Kensington,,,1,1,1,1,339,1
001080-03012020,03 Jan 2020,2020,13:18:43,13,False Alarm,AFA,,Dwelling,Licensed House in Multiple Occupation - 3 or more storeys ,Within same building,,SW6,0,21000720,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013742,Lillie,Lillie,,,525250,177850,,,London,Fulham,333,Fulham,412,Kensington,2,2,2,1,339,1
001260-03012020,03 Jan 2020,2020,19:57:50,19,False Alarm,AFA,,Other Residential,Hostel (e.g. for homeless people) ,Correct incident location,SW6 1RP,SW6,34097787,21000720,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013742,Lillie,Lillie,525304,177885,525350,177850,51.4860439,-0.1967036,London,Fulham,264,Fulham,289,Chelsea,2,2,2,1,339,1
001282-03012020,03 Jan 2020,2020,20:42:49,20,False Alarm,AFA,,Dwelling,House - single occupancy ,Within same building,,W12,0,21000304,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013752,White City,White City,,,522950,180350,,,London,Hammersmith,250,Hammersmith,264,Hammersmith,1,2,2,1,339,2
